frame	time/sec	value
0		0.00		1.2
15		0.50		17.1
30		1.00		15.2
45		1.50		-10
60		2.00		12.0
75		2.50		11.9
90		3.00		-10
105		3.50		11.8
120		4.00		10.6
135		4.50		9.8
150		5.00		9.8
165		5.50		-10
180		6.00		-10
195		6.50		-10
210		7.00		14.0
225		7.50		14.0
240		8.00		-10
255		8.50		10.6
270		9.00		-10
285		9.50		-10
300		10.00		-10
315		10.50		0.8
330		11.00		-10
345		11.50		-10
360		12.00		11.6
375		12.50		-10
390		13.00		11.7
405		13.50		-10
420		14.00		18.6
435		14.50		-10
450		15.00		12.1
465		15.50		17.8
480		16.00		17.9
495		16.50		18.5
510		17.00		18.4
525		17.50		-10
540		18.00		-10
555		18.50		-10
570		19.00		-10
585		19.50		-10
600		20.00		8.5
615		20.50		-10
630		21.00		-10
645		21.50		-10
660		22.00		0.8
675		22.50		12.3
690		23.00		0.3
705		23.50		-10
720		24.00		-10
735		24.50		12.2
750		25.00		11.6
765		25.50		1.9
780		26.00		-10
795		26.50		11.6
810		27.00		2.1
825		27.50		11.2
840		28.00		12.3
855		28.50		-10
870		29.00		-10
885		29.50		-10
