frame	time/sec	value
0		0.00		10.3
15		0.50		15.6
30		1.00		13.8
45		1.50		2.1
60		2.00		0.6
75		2.50		0.6
90		3.00		0.3
105		3.50		0.5
120		4.00		0.5
135		4.50		0.3
150		5.00		0.6
165		5.50		0.9
180		6.00		1.2
195		6.50		0.9
210		7.00		0.9
225		7.50		1.1
240		8.00		13.6
255		8.50		13.9
270		9.00		1.3
285		9.50		1.3
300		10.00		15.2
315		10.50		15.7
330		11.00		-10
345		11.50		-10
360		12.00		-10
375		12.50		-10
390		13.00		1.6
405		13.50		1.6
420		14.00		-10
435		14.50		1.6
450		15.00		-10
465		15.50		0.6
480		16.00		19.4
495		16.50		19.7
510		17.00		19.9
525		17.50		20.5
540		18.00		20.6
555		18.50		1.9
570		19.00		10.1
585		19.50		10.0
600		20.00		10.4
615		20.50		1.9
630		21.00		1.8
645		21.50		1.8
660		22.00		0.7
675		22.50		1.9
690		23.00		1.8
705		23.50		-10
720		24.00		0.7
735		24.50		12.1
750		25.00		10.4
765		25.50		10.2
780		26.00		12.0
795		26.50		10.2
810		27.00		10.1
825		27.50		10.1
840		28.00		11.8
855		28.50		0.5
870		29.00		10.7
885		29.50		1.7
