frame	time/sec	value
0		0.00		76.6
15		0.50		76.8
30		1.00		77.3
45		1.50		79.9
60		2.00		82.9
75		2.50		83.7
90		3.00		86.4
105		3.50		91.2
120		4.00		94.2
135		4.50		94.2
150		5.00		96.3
165		5.50		97.1
180		6.00		97.7
195		6.50		98.1
210		7.00		98.4
225		7.50		1.6
240		8.00		4.0
255		8.50		5.8
270		9.00		6.7
285		9.50		6.8
300		10.00		7.7
315		10.50		12.5
330		11.00		14.5
345		11.50		15.1
360		12.00		17.9
375		12.50		20.4
390		13.00		21.9
405		13.50		25.4
420		14.00		27.3
435		14.50		30.7
450		15.00		34.0
465		15.50		36.5
480		16.00		40.6
495		16.50		41.2
510		17.00		44.9
525		17.50		49.9
540		18.00		54.1
555		18.50		56.3
570		19.00		57.1
585		19.50		63.7
600		20.00		64.9
615		20.50		72.3
630		21.00		73.5
645		21.50		78.5
660		22.00		87.8
675		22.50		92.5
690		23.00		98.5
705		23.50		2.8
720		24.00		8.9
735		24.50		11.3
