frame	time/sec	value
0		0.00		88.8
15		0.50		90.5
30		1.00		91.3
45		1.50		91.5
60		2.00		93.3
75		2.50		98.1
90		3.00		98.5
105		3.50		99.0
120		4.00		0.1
135		4.50		7.0
150		5.00		7.5
165		5.50		10.0
180		6.00		13.8
195		6.50		16.0
210		7.00		16.5
225		7.50		21.5
240		8.00		23.5
255		8.50		24.6
270		9.00		32.8
285		9.50		34.7
300		10.00		36.5
315		10.50		40.4
330		11.00		46.5
345		11.50		48.3
360		12.00		50.3
375		12.50		-10
390		13.00		54.5
405		13.50		-10
420		14.00		-10
435		14.50		65.3
450		15.00		65.6
465		15.50		65.6
480		16.00		72.7
495		16.50		75.1
510		17.00		76.1
525		17.50		76.3
540		18.00		76.8
555		18.50		81.3
570		19.00		82.7
585		19.50		83.5
600		20.00		83.5
615		20.50		84.3
630		21.00		89.1
645		21.50		93.3
660		22.00		96.8
675		22.50		98.8
690		23.00		0.9
705		23.50		4.9
720		24.00		5.9
735		24.50		6.7
750		25.00		6.9
