frame	time/sec	value
0		0.00		77.2
15		0.50		78.6
30		1.00		79.8
45		1.50		80.9
60		2.00		82.8
75		2.50		85.6
90		3.00		88.7
105		3.50		91.2
120		4.00		94.4
135		4.50		95.5
150		5.00		96.1
165		5.50		97.0
180		6.00		97.5
195		6.50		98.6
210		7.00		0.4
225		7.50		1.6
240		8.00		4.1
255		8.50		5.4
270		9.00		6.4
285		9.50		6.7
300		10.00		7.8
315		10.50		12.5
330		11.00		14.0
345		11.50		15.0
360		12.00		17.0
375		12.50		19.9
390		13.00		21.3
405		13.50		23.3
420		14.00		27.0
435		14.50		30.4
450		15.00		31.8
465		15.50		34.3
480		16.00		38.4
495		16.50		39.7
510		17.00		44.9
525		17.50		-10
540		18.00		54.5
555		18.50		-10
570		19.00		-10
585		19.50		63.7
600		20.00		65.1
615		20.50		72.4
630		21.00		75.8
645		21.50		78.7
660		22.00		88.6
675		22.50		93.1
690		23.00		98.2
705		23.50		3.2
720		24.00		8.5
735		24.50		8.4
