frame	time/sec	value
0		0.00		77.4
15		0.50		79.0
30		1.00		80.1
45		1.50		80.2
60		2.00		83.0
75		2.50		86.0
90		3.00		89.5
105		3.50		92.0
120		4.00		95.0
135		4.50		96.1
150		5.00		96.9
165		5.50		97.7
180		6.00		98.1
195		6.50		99.0
210		7.00		0.3
225		7.50		1.2
240		8.00		3.9
255		8.50		5.1
270		9.00		6.0
285		9.50		6.4
300		10.00		7.3
315		10.50		12.0
330		11.00		13.7
345		11.50		14.7
360		12.00		16.9
375		12.50		20.0
390		13.00		21.3
405		13.50		23.2
420		14.00		27.0
435		14.50		30.3
450		15.00		32.0
465		15.50		34.2
480		16.00		38.8
495		16.50		39.5
510		17.00		44.1
525		17.50		49.9
540		18.00		54.2
555		18.50		56.3
570		19.00		57.0
585		19.50		63.2
600		20.00		64.8
615		20.50		72.8
630		21.00		75.8
645		21.50		79.9
660		22.00		89.0
675		22.50		93.6
690		23.00		98.6
705		23.50		2.8
720		24.00		7.9
735		24.50		-10
