frame	time/sec	value
0		0.00		-10
15		0.50		-10
30		1.00		103.2
45		1.50		167.2
60		2.00		56.8
75		2.50		-10
90		3.01		5.7
105		3.51		7.9
120		4.01		10.5
135		4.51		10.6
150		5.01		18.9
165		5.51		17.0
180		6.01		21.3
195		6.51		21.2
210		7.01		25.7
225		7.51		27.8
240		8.01		29.8
255		8.51		30.1
270		9.02		37.0
285		9.52		37.0
300		10.02		40.5
315		10.52		40.9
330		11.02		47.2
345		11.52		45.7
360		12.02		51.0
375		12.52		52.5
390		13.02		57.3
405		13.52		57.6
420		14.02		62.1
435		14.52		62.1
450		15.03		68.7
465		15.53		68.1
480		16.03		72.7
495		16.53		74.0
510		17.03		80.0
525		17.53		79.3
540		18.03		83.5
555		18.53		85.3
570		19.03		91.2
585		19.53		91.4
600		20.03		96.6
615		20.53		96.1
630		21.04		100.1
645		21.54		101.4
660		22.04		105.4
675		22.54		106.2
690		23.04		113.2
705		23.54		112.7
720		24.04		117.9
735		24.54		118.5
750		25.04		123.7
765		25.54		123.5
780		26.04		128.6
795		26.54		128.6
810		27.05		131.9
825		27.55		133.1
840		28.05		138.5
855		28.55		136.5
870		29.05		143.1
885		29.55		143.5
900		30.05		149.3
915		30.55		149.0
930		31.05		152.7
945		31.55		154.6
960		32.05		156.9
975		32.56		157.6
990		33.06		161.1
1005		33.56		161.1
1020		34.06		167.0
1035		34.56		166.4
1050		35.06		171.4
1065		35.56		171.3
1080		36.06		175.6
1095		36.56		176.1
1110		37.06		179.7
1125		37.56		180.0
1140		38.06		158.9
1155		38.57		50.6
1170		39.07		2.9
